CountryName,GDP (Billions)
Afghanistan,NULL
Albania,19.083
Algeria,195.06
Andorra,3.352
Angola,122.781
Antigua and Barbuda,1.758
Argentina,630.606
Armenia,19.514
Aruba,3.545
Australia,1702.554
Austria,471.026
Azerbaijan,78.721
"Bahamas, The",12.897
Bahrain,44.383
Bangladesh,460.201
Barbados,5.685
Belarus,72.835
Belgium,579.059
Belize,2.985
Benin,17.439
Bhutan,2.653
Bolivia,44.315
Bosnia and Herzegovina,24.52
Botswana,20.352
Brazil,1920.023
Brunei Darussalam,16.682
Bulgaria,89.115
Burkina Faso,18.934
Burundi,3.918
Cabo Verde,2.308
Cambodia,28.818
Cameroon,44.322
Canada,2137.939
Central African Republic,2.463
Chad,12.096
Chile,300.729
"China, People's Republic of",17886.331
Colombia,343.622
Comoros,1.237
"Congo, Dem. Rep. of the",65.784
"Congo, Republic of ",13.961
Costa Rica,68.373
Croatia,70.548
Cyprus,28.461
Czech Republic,290.528
Cte d'Ivoire,70.18
Denmark,401.125
Djibouti,3.662
Dominica,0.627
Dominican Republic,113.873
Ecuador,115.049
Egypt,475.231
El Salvador,32.489
Equatorial Guinea,11.767
Eritrea,NULL
Estonia,37.951
Eswatini,4.837
Ethiopia,120.369
Fiji,4.98
Finland,283.124
France,2780.136
Gabon,21.117
"Gambia, The",2.161
Georgia,24.606
Germany,4085.681
Ghana,72.243
Greece,219.238
Grenada,1.216
Guatemala,95.004
Guinea,20.304
Guinea-Bissau,1.718
Guyana,14.529
Haiti,20.535
Honduras,31.523
Hong Kong SAR,359.839
Hungary,180.013
Iceland,28.065
India,3389.689
Indonesia,1318.806
Iran,346.479
Iraq,261.14
Ireland,533.559
Israel,525.003
Italy,2012.014
Jamaica,17.003
Japan,4237.528
Jordan,47.519
Kazakhstan,225.529
Kenya,113.701
Kiribati,0.224
"Korea, Republic of",1673.917
Kosovo,9.437
Kuwait,175.399
Kyrgyz Republic,11.672
Lao P.D.R.,15.304
Latvia,41.167
Lebanon,21.78
Lesotho,2.463
Liberia,3.974
Libya,37.796
Lithuania,70.39
Luxembourg,81.706
Macao SAR,21.979
Madagascar,15.149
Malawi,12.537
Malaysia,407.027
Maldives,6.238
Mali,19.171
Malta,18.14
Marshall Islands,0.261
Mauritania,9.903
Mauritius,12.898
Mexico,1465.854
"Micronesia, Fed. States of",0.424
Moldova,14.55
Mongolia,17.146
Montenegro,6.109
Morocco,130.913
Mozambique,19.157
Myanmar,66.156
Namibia,12.602
Nauru,0.152
Nepal,40.828
Netherlands,1010.193
New Zealand,242.024
Nicaragua,15.671
Niger,15.448
Nigeria,477.376
North Macedonia ,13.593
Norway,579.422
Oman,114.667
Pakistan,374.658
Palau,0.246
Panama,76.523
Papua New Guinea,31.533
Paraguay,41.722
Peru,244.594
Philippines,404.284
Poland,690.68
Portugal,252.13
Puerto Rico,115.017
Qatar,236.415
Romania,301.273
Russian Federation,2244.249
Rwanda,13.309
Saint Kitts and Nevis,0.966
Saint Lucia,2.297
Saint Vincent and the Grenadines,0.947
Samoa,0.833
San Marino,1.785
Saudi Arabia,1108.149
Senegal,27.744
Serbia,63.502
Seychelles,1.977
Sierra Leone,3.987
Singapore,466.789
Slovak Republic,115.56
Slovenia,60.111
Solomon Islands,1.591
Somalia,10.42
South Africa,405.106
"South Sudan, Republic of",8.535
Spain,1418.916
Sri Lanka,74.846
Sudan,33.752
Suriname,3.51
Sweden,591.189
Switzerland,818.471
Syria,NULL
So Tom and Prncipe,0.548
Taiwan Province of China,760.46
Tajikistan,10.493
Tanzania,77.065
Thailand,495.424
Timor-Leste,4.904
Togo,8.144
Tonga,0.498
Trinidad and Tobago,30.053
Tunisia,46.361
Turkmenistan,77.252
Tuvalu,0.059
"Trkiye, Republic of",905.841
Uganda,48.244
Ukraine,160.501
United Arab Emirates,507.064
United Kingdom,3081.871
United States,25462.725
Uruguay,71.177
Uzbekistan,80.418
Vanuatu,1.073
Venezuela,92.104
Vietnam,406.452
West Bank and Gaza,NULL
Yemen,23.548
Zambia,29.742
Zimbabwe,31.49