CountryName,GDP Per Capita
Afghanistan,NULL
Albania,6657.637
Algeria,4306.82
Andorra,41084.874
Angola,3438.147
Antigua and Barbuda,17441.463
Argentina,13619.875
Armenia,6587.219
Aruba,33032.454
Australia,64813.854
Austria,52191.771
Azerbaijan,7750.882
"Bahamas, The",32298.948
Bahrain,28781.493
Bangladesh,2730.846
Barbados,19647.869
Belarus,7868.911
Belgium,49843.163
Belize,6757.498
Benin,1303.379
Bhutan,3491.984
Bolivia,3705.266
Bosnia and Herzegovina,7059.993
Botswana,7737.655
Brazil,9455.328
Brunei Darussalam,37850.978
Bulgaria,13821.205
Burkina Faso,831.658
Burundi,310.986
Cabo Verde,4048.436
Cambodia,1801.87
Cameroon,1587.953
Canada,55036.52
Central African Republic,490.94
Chad,694.594
Chile,15166.472
"China, People's Republic of",12669.617
Colombia,6658.119
Comoros,1294.354
"Congo, Dem. Rep. of the",679.579
"Congo, Republic of ",2838.369
Costa Rica,13074.905
Croatia,18305.03
Cyprus,31459.344
Czech Republic,26832.304
Cte d'Ivoire,2473.051
Denmark,68294.907
Djibouti,3604.101
Dominica,8462.278
Dominican Republic,10711.156
Ecuador,6389.424
Egypt,4587.172
El Salvador,5127.315
Equatorial Guinea,7853.892
Eritrea,NULL
Estonia,28136.261
Eswatini,4201.902
Ethiopia,1156.478
Fiji,5474.303
Finland,51029.52
France,42349.887
Gabon,9770.921
"Gambia, The",841.947
Georgia,6670.727
Germany,48756.309
Ghana,2251.822
Greece,20960.097
Grenada,10694.769
Guatemala,5097.593
Guinea,1383.633
Guinea-Bissau,905.854
Guyana,18353.123
Haiti,1702.001
Honduras,3062.199
Hong Kong SAR,48154.404
Hungary,18579.077
Iceland,74590.512
India,2391.866
Indonesia,4798.118
Iran,4043.405
Iraq,6181.343
Ireland,103311.007
Israel,54336.836
Italy,34084.518
Jamaica,6197.798
Japan,33853.804
Jordan,4613.062
Kazakhstan,11409.464
Kenya,2245.284
Kiribati,1821.553
"Korea, Republic of",32418.338
Kosovo,5332.367
Kuwait,36092.393
Kyrgyz Republic,1717.714
Lao P.D.R.,2046.856
Latvia,21946.922
Lebanon,3283.414
Lesotho,1166.197
Liberia,749.187
Libya,5577.013
Lithuania,24988.686
Luxembourg,126598.103
Macao SAR,31539.494
Madagascar,523.084
Malawi,567.454
Malaysia,12465.612
Maldives,15962.494
Mali,847.461
Malta,34819.265
Marshall Islands,5839.966
Mauritania,2284.925
Mauritius,10227.044
Mexico,11265.544
"Micronesia, Fed. States of",4038.768
Moldova,5726.325
Mongolia,4953.553
Montenegro,9820.089
Morocco,3570.115
Mozambique,581.038
Myanmar,1227.697
Namibia,4854.445
Nauru,12088.572
Nepal,1354.066
Netherlands,57427.756
New Zealand,47226.095
Nicaragua,2371.681
Niger,592.241
Nigeria,2202.456
North Macedonia ,6599.902
Norway,105825.926
Oman,23240.138
Pakistan,1650.279
Palau,13941.386
Panama,17409.626
Papua New Guinea,2621.832
Paraguay,5597.532
Peru,7158.773
Philippines,3623.593
Poland,18342.676
Portugal,24540.377
Puerto Rico,36123.366
Qatar,83520.998
Romania,15821.133
Russian Federation,15645.688
Rwanda,1004.718
Saint Kitts and Nevis,16565.781
Saint Lucia,12703.961
Saint Vincent and the Grenadines,8538.685
Samoa,4142.543
San Marino,52447.43
Saudi Arabia,34441.059
Senegal,1569.546
Serbia,9528.432
Seychelles,19982.733
Sierra Leone,479.777
Singapore,82807.649
Slovak Republic,21263.247
Slovenia,28526.621
Solomon Islands,2204.607
Somalia,667.318
South Africa,6684.479
"South Sudan, Republic of",585.003
Spain,29799.745
Sri Lanka,3341.996
Sudan,723.032
Suriname,5687.183
Sweden,56188.324
Switzerland,93657.234
Syria,NULL
So Tom and Prncipe,2413.087
Taiwan Province of China,32687.371
Tajikistan,1066.747
Tanzania,1252.882
Thailand,7069.589
Timor-Leste,3682.474
Togo,919.575
Tonga,4977.965
Trinidad and Tobago,21252.661
Tunisia,3822.295
Turkmenistan,12379.58
Tuvalu,5452.057
"Trkiye, Republic of",10621.965
Uganda,1103.109
Ukraine,4606.798
United Arab Emirates,51399.958
United Kingdom,45461.066
United States,76343.247
Uruguay,20022.144
Uzbekistan,2279.972
Vanuatu,3325.15
Venezuela,3421.754
Vietnam,4086.519
West Bank and Gaza,NULL
Yemen,706.679
Zambia,1485.788
Zimbabwe,1990.93