CountryName,CountryCode,Population
Afghanistan,AFG,41128771
Albania,ALB,2775634
Algeria,DZA,44903225
Andorra,AND,79824
Angola,AGO,35588987
Antigua and Barbuda,ATG,93763
Argentina,ARG,46234830
Armenia,ARM,2780469
Aruba,ABW,106445
Australia,AUS,25978935
Austria,AUT,9042528
Azerbaijan,AZE,10175016
"Bahamas, The",BHS,409984
Bahrain,BHR,1472233
Bangladesh,BGD,171186372
Barbados,BRB,281635
Belarus,BLR,9208701
Belgium,BEL,11669446
Belize,BLZ,405272
Benin,BEN,13352864
Bhutan,BTN,782455
Bolivia,BOL,12224110
Bosnia and Herzegovina,BIH,3233526
Botswana,BWA,2630296
Brazil,BRA,215313498
Brunei Darussalam,BRN,449002
Bulgaria,BGR,6465097
Burkina Faso,BFA,22673762
Burundi,BDI,12889576
Cabo Verde,CPV,593149
Cambodia,KHM,16767842
Cameroon,CMR,27914536
Canada,CAN,38929902
Chad,TCD,17723315
Chile,CHL,19603733
"China, People's Republic of",CHN,1412175000
Colombia,COL,51874024
Comoros,COM,836774
"Congo, Dem. Rep.",COD,99010212
"Congo, Rep.",COG,5970424
Costa Rica,CRI,5180829
Cote d'Ivoire,CIV,28160542
Croatia,HRV,3854000
Cyprus,CYP,1251488
Czech Republic,CZE,10526073
Denmark,DNK,5903037
Djibouti,DJI,1120849
Dominica,DMA,72737
Dominican Republic,DOM,11228821
Ecuador,ECU,18001000
Egypt,EGY,110990103
El Salvador,SLV,6336392
Equatorial Guinea,GNQ,1674908
Eritrea,ERI,3684032
Estonia,EST,1344768
Eswatini,SWZ,1201670
Ethiopia,ETH,123379924
Fiji,FJI,929766
Finland,FIN,5556880
France,FRA,67935660
Gabon,GAB,2388992
"Gambia, The",GMB,2705992
Georgia,GEO,3712502
Germany,DEU,84079811
Ghana,GHA,33475870
Greece,GRC,10566531
Greenland,GRL,56661
Grenada,GRD,125438
Guatemala,GTM,17357886
Guinea,GIN,13859341
Guinea-Bissau,GNB,2105566
Guyana,GUY,808726
Haiti,HTI,11584996
Honduras,HND,10432860
Hong Kong SAR,HKG,7346100
Hungary,HUN,9683505
Iceland,ISL,381900
India,IND,1417173173
Indonesia,IDN,275501339
Iran,IRN,88550570
Iraq,IRQ,44496122
Ireland,IRL,5086988
Israel,ISR,9550600
Italy,ITA,58856847
Jamaica,JAM,2827377
Japan,JPN,125124989
Jordan,JOR,11285869
Kazakhstan,KAZ,19621972
Kenya,KEN,54027487
Kiribati,KIR,131232
"Korea, Republic of",KOR,51628117
Kosovo,XKX,1761985
Kuwait,KWT,4268873
Kyrgyz Republic,KGZ,6803300
Lao P.D.R.,LAO,7529475
Latvia,LVA,1883379
Lebanon,LBN,5489739
Lesotho,LSO,2305825
Liberia,LBR,5302681
Libya,LBY,6812341
Lithuania,LTU,2833000
Luxembourg,LUX,650774
Macao SAR,MAC,695168
Madagascar,MDG,29611714
Malawi,MWI,20405317
Malaysia,MYS,33938221
Maldives,MDV,523787
Mali,MLI,22593590
Malta,MLT,523417
Marshall Islands,MHL,41569
Mauritania,MRT,4736139
Mauritius,MUS,1262523
Mexico,MEX,127504125
"Micronesia, Fed. Sts.",FSM,114164
Moldova,MDA,2592477
Monaco,MCO,36469
Mongolia,MNG,3398366
Montenegro,MNE,616159
Morocco,MAR,37457971
Mozambique,MOZ,32969518
Myanmar,MMR,54179306
Namibia,NAM,2567012
Nauru,NRU,12668
Nepal,NPL,30547580
Netherlands,NLD,17703090
New Zealand,NZL,5124100
Nicaragua,NIC,6948392
Niger,NER,26207977
Nigeria,NGA,218541212
North Macedonia,MKD,2057679
Norway,NOR,5457127
Oman,OMN,4576298
Pakistan,PAK,235824862
Palau,PLW,18055
Panama,PAN,4408581
Papua New Guinea,PNG,10142619
Paraguay,PRY,6780744
Peru,PER,34049588
Philippines,PHL,115559009
Poland,POL,37561599
Portugal,PRT,10379007
Puerto Rico,PRI,3221789
Qatar,QAT,2695122
Romania,ROU,18956666
Russian Federation,RUS,143555736
Rwanda,RWA,13776698
Saint Kitts and Nevis,KNA,47657
Saint Lucia,LCA,179857
Saint Vincent and the Grenadines,VCT,103948
Samoa,WSM,222382
San Marino,SMR,33660
Sao Tome and Principe,STP,227380
Saudi Arabia,SAU,36408820
Senegal,SEN,17316449
Serbia,SRB,6760087
Seychelles,SYC,100060
Sierra Leone,SLE,8605718
Singapore,SGP,5637022
Slovak Republic,SVK,5431752
Slovenia,SVN,2108732
Solomon Islands,SLB,724273
Somalia,SOM,17597511
South Africa,ZAF,59893885
"South Sudan, Republic of",SSD,10913164
Spain,ESP,47615034
Sri Lanka,LKA,22181000
Sudan,SDN,46874204
Suriname,SUR,618040
Sweden,SWE,10486941
Switzerland,CHE,8769741
Syrian Arab Republic,SYR,22125249
Tajikistan,TJK,9952787
Tanzania,TZA,65497748
Thailand,THA,71697030
Timor-Leste,TLS,1341296
Togo,TGO,8848699
Tonga,TON,106858
Trinidad and Tobago,TTO,1531044
"Trkiye, Republic of",TUR,85341241
Tunisia,TUN,12356117
Turkmenistan,TKM,6430770
Tuvalu,TUV,11312
Uganda,UGA,47249585
Ukraine,UKR,38000000
United Arab Emirates,ARE,9441129
United Kingdom,GBR,66971411
United States,USA,333287557
Uruguay,URY,3422794
Uzbekistan,UZB,35648100
Vanuatu,VUT,326740
Venezuela,VEN,28301696
Vietnam,VNM,98186856
West Bank and Gaza,PSE,5043612
Yemen,YEM,33696614
Zambia,ZMB,20017675
Zimbabwe,ZWE,16320537